epoch,train_loss,val_loss,smooth_val_loss
1,1.1840,1.0637,1.0637
2,1.1331,1.0616,1.0626
3,1.1555,1.0718,1.0657
4,1.1476,1.1726,1.0924
5,1.1105,1.1184,1.0976
6,1.1181,1.2513,1.1351
7,1.0867,1.0000,1.1228
8,1.0778,1.6386,1.2362
9,1.0378,1.0294,1.2075
10,1.0289,0.9585,1.1755
11,1.0348,0.9640,1.1181
12,1.0201,1.0976,1.1376
13,0.9674,1.8601,1.1819
14,1.0088,0.8823,1.1525
15,0.9355,0.9412,1.1491
16,0.8753,1.1488,1.1860
17,0.9277,0.9435,1.1552
18,0.8988,0.9273,0.9686
19,0.9083,0.9033,0.9728
20,0.8964,1.2024,1.0251
21,0.8928,0.9151,0.9783
22,0.8764,1.5025,1.0901
23,0.9026,1.0342,1.1115
24,0.8315,0.7870,1.0882
25,0.8611,0.8173,1.0112
26,0.8215,0.8953,1.0073
27,0.8360,0.9078,0.8883
28,0.8379,0.8411,0.8497
29,0.8982,0.8197,0.8562
30,0.8394,0.8288,0.8586
31,0.8513,0.8086,0.8412
32,0.8167,0.7708,0.8138
33,0.8271,0.8587,0.8173
34,0.8441,1.1008,0.8735
35,0.8155,0.8333,0.8744
36,0.8450,0.7835,0.8694
37,0.8319,0.8384,0.8829
38,0.8093,0.9105,0.8933
39,0.7902,0.7896,0.8310
40,0.8125,0.8464,0.8337
41,0.8317,1.0070,0.8784
42,0.8730,0.7472,0.8601
43,0.8253,0.7921,0.8365
44,0.7794,0.9558,0.8697
45,0.8299,0.7340,0.8472
46,0.7798,0.7744,0.8007
47,0.7921,0.8000,0.8113
48,0.8303,0.7812,0.8091
49,0.8033,0.8833,0.7946
50,0.8266,0.8610,0.8200
51,0.7858,0.7689,0.8189
52,0.7682,0.7672,0.8123
53,0.8244,0.7643,0.8089
54,0.8151,0.7911,0.7905
55,0.8056,0.7010,0.7585
56,0.7692,0.7502,0.7548
57,0.7866,0.8335,0.7680
58,0.7762,0.7530,0.7658
59,0.7767,0.8269,0.7729
60,0.7560,0.7882,0.7904
61,0.8054,0.7454,0.7894
62,0.7834,0.7775,0.7782
63,0.7468,0.7165,0.7709
64,0.7911,0.7766,0.7608
65,0.7903,0.8085,0.7649
66,0.7697,0.8447,0.7847
67,0.7647,0.8063,0.7905
68,0.8167,0.7919,0.8056
69,0.8004,0.7112,0.7925
70,0.7608,0.7321,0.7772
71,0.7659,0.8221,0.7727
72,0.7746,0.7928,0.7700
73,0.7732,0.7888,0.7694
74,0.7990,0.7578,0.7787
75,0.7515,0.8253,0.7973
76,0.7722,0.7491,0.7828
77,0.7617,0.8141,0.7870
78,0.7351,0.6902,0.7673
79,0.7744,0.8207,0.7799
80,0.7749,0.6678,0.7484
81,0.7368,0.7102,0.7406
82,0.7718,0.8154,0.7409
83,0.7970,0.8177,0.7663
84,0.8142,0.7571,0.7536
85,0.7899,0.7483,0.7697
86,0.8004,0.7267,0.7730
87,0.8177,0.8695,0.7838
88,0.7907,0.7264,0.7656
89,0.7627,0.8059,0.7753
90,0.8510,0.7115,0.7680
91,0.7830,0.7042,0.7635
92,0.7529,0.7281,0.7352
93,0.8079,0.7617,0.7423
94,0.8341,0.8406,0.7492
95,0.8315,0.7756,0.7620
96,0.8216,0.7889,0.7790
97,0.7485,0.8099,0.7953
98,0.7652,0.7946,0.8019
99,0.8059,0.8521,0.8042
100,0.8166,0.7641,0.8019
101,0.7861,0.7665,0.7974
102,0.8143,0.7657,0.7886
103,0.7618,0.8346,0.7966
104,0.8244,0.8108,0.7883
105,0.7569,0.7836,0.7922
106,0.7795,0.7928,0.7975
107,0.7865,0.7962,0.8036
108,0.7660,0.8341,0.8035
109,0.7788,0.7981,0.8010
110,0.7716,0.7526,0.7948
111,0.8049,0.8260,0.8014
112,0.7333,0.8031,0.8028
113,0.7957,0.7950,0.7949
114,0.8460,0.7645,0.7882
115,0.7945,0.7412,0.7859
116,0.8091,0.8009,0.7809
117,0.7766,0.6887,0.7581
118,0.7878,0.7788,0.7548
119,0.7723,0.8101,0.7639
120,0.7621,0.7852,0.7727
121,0.8057,0.8331,0.7792
122,0.7547,0.7382,0.7891
